Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nationality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Unemployment rate,Inflation rate,GDP
1,17,5,171,1,1,122.0,1,3,9,3,1,127.3,1,0,0,1,1,0,2.995732773553866,0,0.0,0,0.0,0.0,0,0,0.0,0.0,10.8,1.4,1.74
1,15,1,9254,1,1,160.0,1,1,5,4,5,142.5,1,0,0,0,1,0,2.9444395054820913,0,1.7917611358933327,6,1.7917611358933327,2.6390580439007176,6,6,1.7917611358933327,13.666666666666666,13.9,-0.3,0.79
1,1,5,9070,1,1,122.0,1,2,2,1,1,124.8,1,0,0,0,1,0,2.9444395054820913,0,1.7917611358933327,0,0.0,0.0,6,0,0.0,0.0,10.8,1.4,1.74
1,17,2,9773,1,1,122.0,1,4,2,3,5,119.6,1,0,0,1,0,0,2.995732773553866,0,1.7917611358933327,8,1.7917611358933327,2.5973853778952645,6,10,1.6094399124321004,12.4,9.4,-0.8,-3.12
2,39,1,8014,0,1,100.0,1,2,4,1,1,141.5,0,0,0,1,0,0,3.806662711992517,0,1.7917611358933327,9,1.6094399124321004,2.5123064347865967,6,6,1.7917611358933327,13.0,13.9,-0.3,0.79
2,39,1,9991,0,19,133.1,1,2,2,1,2,114.8,0,0,1,1,1,0,3.912023205428126,0,1.6094399124321004,10,1.6094399124321004,2.472931302114423,5,17,1.6094399124321004,11.5,16.2,0.3,-0.92
1,1,1,9500,1,1,142.0,1,3,4,6,7,128.4,1,0,0,1,0,1,2.8903723134515658,0,1.9459115776257214,9,1.9459115776257214,2.5877647871071248,8,8,2.0794427916790545,14.345,15.5,2.8,-4.06
1,18,4,9254,1,1,119.0,1,2,2,1,1,113.1,1,0,0,0,1,0,3.091042907903667,0,1.6094399124321004,5,0.0,0.0,5,5,0.0,0.0,15.5,2.8,-4.06
1,1,3,9238,1,1,137.0,3,1,1,1,1,129.3,0,0,0,1,0,1,3.0445229139137857,1,1.7917611358933327,8,1.7917611358933327,2.6300893803529592,6,7,1.7917611358933327,14.142857142857142,16.2,0.3,-0.92
1,1,1,9238,1,1,138.0,1,1,3,2,2,123.0,1,0,1,0,0,0,2.8903723134515658,0,1.7917611358933327,9,1.6094399124321004,2.4336142325930474,6,14,0.6931521805474454,13.5,8.9,1.4,3.51
1,1,1,9670,1,1,139.0,1,4,3,3,2,130.6,1,0,0,1,0,0,2.8903723134515658,0,1.7917611358933327,6,1.7917611358933327,2.5123064347865967,6,7,1.6094399124321004,14.2,13.9,-0.3,0.79
1,1,1,9500,1,1,136.0,1,3,4,1,1,119.3,1,0,0,1,0,1,2.8903723134515658,0,2.0794427916790545,8,1.9459115776257214,2.5812992522195364,8,8,1.9459115776257214,13.214285714285714,12.7,3.7,-1.7
1,1,2,9853,1,1,133.0,1,3,2,2,1,130.2,1,0,0,1,0,0,2.9444395054820913,0,1.7917611358933327,6,0.0,0.0,6,0,0.0,0.0,12.7,3.7,-1.7
1,53,1,9254,1,42,110.0,1,1,1,2,2,111.8,1,0,0,1,0,1,3.0445229139137857,0,1.7917611358933327,7,1.7917611358933327,2.358155890094355,6,8,1.6094399124321004,11.0,8.9,1.4,3.51
1,1,1,9085,1,1,149.0,1,4,2,3,3,137.1,1,0,0,1,0,1,2.8903723134515658,0,1.6094399124321004,7,1.3862968611167654,2.5839983071489274,5,5,1.6094399124321004,12.0,10.8,1.4,1.74
1,1,1,9773,1,1,127.0,1,3,2,1,5,120.7,1,0,0,1,0,0,2.995732773553866,0,1.7917611358933327,6,1.6094399124321004,2.580217587167796,6,7,0.0,0.0,15.5,2.8,-4.06
1,18,1,9238,1,1,137.0,1,3,4,3,6,137.4,1,0,0,1,0,0,2.8903723134515658,0,1.7917611358933327,10,9.999950000398841e-06,2.4849074831209865,6,14,0.6931521805474454,11.0,10.8,1.4,1.74
1,17,2,9500,1,1,135.0,1,3,1,3,4,127.3,1,0,0,1,0,0,2.8903723134515658,0,1.9459115776257214,8,1.9459115776257214,2.5882346011859085,8,8,2.0794427916790545,14.545,15.5,2.8,-4.06
1,1,1,9130,1,1,137.0,1,5,3,4,3,136.3,1,0,0,1,0,0,2.995732773553866,0,1.6094399124321004,8,1.3862968611167654,2.5257294443079354,5,8,1.3862968611167654,12.25,10.8,1.4,1.74
1,1,1,9853,1,1,140.0,1,3,3,6,2,124.6,1,0,0,1,0,0,2.8903723134515658,0,1.9459115776257214,7,1.7917611358933327,2.456736629963794,7,8,1.7917611358933327,13.5,16.2,0.3,-0.92
1,1,3,171,1,1,122.0,1,1,1,1,6,120.3,0,0,0,1,0,1,3.0445229139137857,0,0.0,0,0.0,0.0,0,0,0.0,0.0,11.1,0.6,2.02
1,18,4,9556,1,1,127.0,1,1,4,2,2,121.8,1,0,0,1,0,0,2.995732773553866,0,1.9459115776257214,14,1.9459115776257214,2.436898304918197,8,9,2.0794427916790545,11.425,12.7,3.7,-1.7
1,1,4,9500,1,1,142.0,1,3,3,8,10,125.5,1,0,0,1,0,0,2.8903723134515658,0,2.0794427916790545,12,1.9459115776257214,2.553900299052427,8,12,1.9459115776257214,12.857142857142858,12.7,3.7,-1.7
1,1,4,9670,1,1,125.0,1,1,4,2,2,114.9,1,0,0,1,0,1,2.9444395054820913,0,1.7917611358933327,8,1.7917611358933327,2.593388040445342,6,7,1.7917611358933327,12.285714285714286,11.1,0.6,2.02
1,1,1,9500,1,1,126.0,1,3,3,4,2,123.9,0,0,0,1,0,0,2.9444395054820913,0,1.9459115776257214,8,1.7917611358933327,2.5875141293171104,8,9,1.9459115776257214,14.114285714285714,11.1,0.6,2.02
1,1,1,9238,1,1,151.0,1,3,4,1,1,157.0,1,0,1,1,0,1,2.8903723134515658,0,1.7917611358933327,8,1.6094399124321004,2.451005960180913,6,12,1.3862968611167654,11.0,7.6,2.6,0.32
1,17,2,9238,1,1,115.0,1,3,4,6,6,116.4,1,0,0,1,0,0,3.0445229139137857,0,1.7917611358933327,9,1.7917611358933327,2.431418843957507,6,9,1.7917611358933327,13.285714285714286,16.2,0.3,-0.92
1,1,1,9085,1,1,138.0,1,3,3,4,5,131.0,1,0,0,1,0,0,2.8903723134515658,0,1.6094399124321004,9,1.6094399124321004,2.5389746605316486,5,7,1.3862968611167654,13.0,9.4,-0.8,-3.12
1,1,1,9147,1,1,135.0,1,3,1,1,1,122.1,1,0,0,1,0,0,2.995732773553866,0,1.6094399124321004,6,1.6094399124321004,2.4849074831209865,5,6,1.6094399124321004,12.333333333333334,16.2,0.3,-0.92
1,17,2,9500,1,1,127.0,1,5,5,8,7,118.8,1,0,0,1,1,0,2.9444395054820913,0,1.9459115776257214,9,1.7917611358933327,2.5598087311566955,7,7,1.7917611358933327,13.716666666666669,16.2,0.3,-0.92
1,44,1,9003,1,39,150.0,1,8,10,2,9,150.0,0,0,0,1,1,0,3.0445229139137857,0,1.7917611358933327,15,1.6094399124321004,2.472931302114423,6,17,1.6094399124321004,10.571428571428571,16.2,0.3,-0.92
1,51,1,9070,1,1,125.0,1,6,5,12,4,130.0,1,0,0,1,1,0,2.995732773553866,0,1.7917611358933327,7,1.7917611358933327,2.5520467318461044,6,9,1.3862968611167654,13.4,8.9,1.4,3.51
1,1,1,9147,1,1,143.0,1,1,1,2,8,138.8,0,0,0,0,1,0,2.8903723134515658,0,1.6094399124321004,9,1.0986156219958876,2.4277491183006035,5,8,0.6931521805474454,13.5,8.9,1.4,3.51
1,18,1,8014,0,1,138.0,1,3,1,1,3,134.5,1,0,0,1,0,0,2.9444395054820913,0,1.7917611358933327,6,1.7917611358933327,2.5389746605316486,6,8,1.7917611358933327,14.375,12.4,0.5,1.79
1,1,1,9991,0,1,130.0,1,7,2,4,1,131.4,0,0,0,1,1,0,3.526360818733765,0,1.6094399124321004,6,1.6094399124321004,2.5176972790622787,5,9,1.6094399124321004,13.428571428571429,13.9,-0.3,0.79
1,39,1,33,1,1,130.0,1,4,2,1,8,102.5,0,0,1,0,1,0,3.610918182914458,0,1.9459115776257214,7,0.0,0.0,7,7,9.999950000398841e-06,10.0,8.9,1.4,3.51
1,39,1,9119,1,19,133.1,1,6,2,7,11,128.8,1,0,0,1,1,0,3.761200348251675,0,1.6094399124321004,0,0.0,0.0,5,0,0.0,0.0,7.6,2.6,0.32
1,43,1,9147,1,1,140.0,1,2,2,9,8,122.9,0,0,0,1,0,0,4.007333367050636,0,1.6094399124321004,10,9.999950000398841e-06,2.3025860929935456,5,8,0.6931521805474454,12.0,16.2,0.3,-0.92
4,39,1,9991,0,1,120.0,1,3,3,1,5,113.9,1,0,0,1,0,0,3.66356190253987,0,1.6094399124321004,8,1.6094399124321004,2.3978961818888664,5,5,1.6094399124321004,11.6,7.6,2.6,0.32
1,44,1,9130,1,39,120.0,3,8,8,4,8,120.0,0,0,1,0,0,0,2.995732773553866,1,1.7917611358933327,13,1.0986156219958876,2.456736629963794,6,11,1.0986156219958876,12.0,12.4,0.5,1.79
1,1,5,9773,1,1,126.0,1,5,5,5,9,121.1,0,0,1,1,0,0,2.8903723134515658,0,1.7917611358933327,6,1.3862968611167654,2.545532055917853,5,5,0.0,0.0,12.7,3.7,-1.7
1,1,2,9147,1,1,133.0,1,5,3,5,2,120.4,1,0,0,1,0,0,3.091042907903667,0,1.6094399124321004,5,1.6094399124321004,2.694627856445517,5,5,1.6094399124321004,15.8,8.9,1.4,3.51
1,1,6,9500,1,1,103.0,1,1,5,5,9,100.6,1,1,0,1,0,0,3.091042907903667,0,1.9459115776257214,9,1.6094399124321004,2.6339019204438037,8,9,1.9459115776257214,14.342857142857142,11.1,0.6,2.02
1,17,1,9773,1,1,120.0,1,1,4,3,3,121.4,0,0,0,0,0,0,2.995732773553866,0,1.7917611358933327,7,1.3862968611167654,2.5649501266920103,6,7,1.6094399124321004,13.8,12.4,0.5,1.79
1,39,1,9991,0,1,133.1,1,2,2,1,1,109.7,0,0,0,1,0,0,3.3672961748140007,0,1.6094399124321004,0,0.0,0.0,5,0,0.0,0.0,16.2,0.3,-0.92
1,17,1,9991,0,1,154.0,1,4,4,2,3,134.1,0,0,0,1,0,0,3.1780542470145257,0,1.6094399124321004,9,0.6931521805474454,2.4423479049340435,5,11,1.0986156219958876,14.333333333333334,7.6,2.6,0.32
